aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
JNU,AS,4479,2.03,1.45,1.9,-0.31,1
JNU,DL,141,11.74,5.4,0.0,9.4,2
JST,OO,652,23.23,18.48,2.6,0.0,1
KOA,AA,626,15.86,10.6,0.0,11.16,6
KOA,AS,1897,10.26,5.13,3.3,5.56,4
KOA,DL,619,9.0,2.09,2.4,4.3,3
KOA,HA,7755,3.28,2.92,0.8,-1.42,2
KOA,UA,1369,12.1,4.21,1.9,7.4,5
KOA,WN,3312,-0.98,-5.55,0.5,-5.68,1
KTN,AS,2239,2.5,0.21,2.0,-1.07,1
KTN,OO,94,29.11,32.22,2.1,25.54,2
LAN,9E,144,6.99,0.79,2.1,-9.92,1
LAN,OH,283,19.28,19.78,3.2,2.37,3
LAN,OO,845,17.8,14.76,0.7,0.89,2
LAR,OO,612,10.75,9.1,3.8,0.0,1
LAS,AA,13377,19.94,13.77,1.1,6.65,9
LAS,AS,5358,10.91,9.6,2.2,-2.38,5
LAS,B6,2588,24.11,17.75,0.9,10.82,11
LAS,DL,15456,9.28,2.5,0.8,-4.01,2
LAS,F9,12791,15.34,12.31,1.4,2.05,8
LAS,G4,7228,8.98,4.92,0.6,-4.31,1
LAS,HA,1377,20.41,19.19,0.3,7.12,10
LAS,MQ,26,66.96,60.15,0.0,53.67,12
LAS,NK,25761,10.73,5.38,1.2,-2.56,4
LAS,OO,2230,15.12,17.58,1.5,1.83,7
LAS,UA,13649,10.2,5.05,1.8,-3.09,3
LAS,WN,84925,13.95,6.2,0.5,0.66,6
LAW,MQ,149,5.66,-1.26,2.7,-6.5,1
LAW,OO,930,13.21,10.97,3.5,1.05,2
LAX,AA,28758,18.07,12.18,0.7,7.25,11
LAX,AS,9001,5.65,2.65,1.9,-5.17,1
LAX,B6,8217,11.25,6.01,0.4,0.43,6
LAX,DL,34922,10.23,4.81,0.7,-0.59,4
LAX,F9,2296,28.57,28.68,1.9,17.75,12
LAX,G4,1012,11.57,8.3,0.8,0.75,7
LAX,HA,2266,14.27,11.79,1.3,3.45,10
LAX,MQ,55,13.04,10.36,0.0,2.22,9
LAX,NK,10987,10.79,4.2,1.2,-0.03,5
LAX,OO,38098,6.25,4.34,0.4,-4.57,2
LAX,UA,25954,9.16,2.46,1.8,-1.66,3
LAX,WN,25593,11.69,4.8,0.4,0.87,8
LBB,AA,422,25.74,24.57,2.6,15.63,4
LBB,MQ,1942,11.34,9.25,1.9,1.23,3
LBB,OO,1156,9.86,8.27,2.1,-0.25,2
LBB,WN,2593,6.81,-0.17,0.8,-3.3,1
LBE,NK,519,6.77,-0.68,2.7,0.0,1
LBF,OO,595,8.58,9.54,2.0,0.0,1
LBL,OO,559,10.72,7.27,3.6,0.0,1
LCH,MQ,76,37.92,38.33,5.3,16.56,2
LCH,OO,1001,20.14,16.97,2.3,-1.22,1
LCK,G4,901,18.86,16.75,2.7,0.0,1
LEX,9E,207,5.34,-0.45,0.0,-7.26,2
LEX,AA,1037,26.48,25.76,2.6,13.88,8
LEX,DL,1688,7.48,-3.08,1.2,-5.12,3
LEX,G4,794,26.06,25.45,2.4,13.46,7
LEX,MQ,954,9.95,4.96,1.6,-2.65,4
LEX,OH,1433,11.69,8.32,1.0,-0.91,6
LEX,OO,1787,10.85,6.28,1.0,-1.75,5
LEX,YX,752,2.58,0.61,0.8,-10.02,1
LFT,9E,780,6.66,1.74,1.3,-8.63,1
LFT,MQ,415,13.94,9.82,1.2,-1.35,2
LFT,NK,1,73.0,59.0,0.0,57.71,5
LFT,OH,1082,21.88,20.18,3.5,6.59,4
LFT,OO,919,15.58,9.88,1.5,0.29,3
LGA,9E,27991,9.68,2.0,4.0,-2.96,2
LGA,AA,15188,18.33,12.85,2.5,5.69,7
LGA,B6,8758,21.19,14.98,2.4,8.55,8
LGA,DL,24550,16.47,8.88,1.6,3.83,6
LGA,F9,2367,32.82,26.94,3.8,20.18,10
LGA,NK,7057,16.27,8.95,2.8,3.63,4
LGA,OO,3776,24.02,19.55,3.1,11.38,9
LGA,UA,7436,11.55,6.83,2.3,-1.09,3
LGA,WN,10784,16.45,5.67,1.9,3.81,5
LGA,YX,38159,4.18,-1.22,2.5,-8.46,1
LGB,DL,430,14.84,7.26,0.7,7.33,4
LGB,HA,604,2.04,-1.37,0.7,-5.47,1
LGB,OO,639,4.69,-0.95,0.0,-2.82,2
LGB,WN,15813,7.64,0.83,0.5,0.13,3
LIH,AA,623,14.92,9.11,0.0,10.97,6
LIH,AS,1021,14.9,9.7,1.1,10.95,5
LIH,DL,613,3.34,-4.63,1.8,-0.61,3
LIH,HA,8743,3.19,2.26,1.3,-0.76,2
LIH,UA,1047,5.91,-0.96,0.6,1.96,4
LIH,WN,3256,-0.09,-6.03,0.1,-4.04,1
LIT,9E,281,12.56,8.84,1.4,0.37,6
LIT,AA,759,26.21,25.23,1.8,14.02,9
LIT,DL,1986,4.47,-2.57,0.7,-7.72,1
LIT,F9,104,9.72,9.39,1.9,-2.47,4
LIT,G4,118,36.02,32.28,0.8,23.83,10
LIT,MQ,3603,14.56,13.09,1.1,2.37,7
LIT,OH,745,22.83,17.98,2.0,10.64,8
LIT,OO,1900,12.37,10.02,1.5,0.18,5
LIT,WN,2555,7.77,0.66,0.3,-4.42,3
LIT,YX,453,5.21,2.09,1.3,-6.98,2
LNK,OO,1713,14.88,10.34,0.7,0.1,2
LNK,YX,37,9.75,4.39,2.7,-5.03,1
LRD,G4,128,25.4,22.62,1.6,11.58,3
LRD,MQ,1596,13.09,11.55,1.6,-0.73,2
LRD,OO,65,8.92,8.67,0.0,-4.9,1
LSE,MQ,328,10.49,7.8,1.8,0.0,1
LWS,OO,1077,10.26,6.65,0.6,0.0,1
MAF,MQ,2558,11.81,9.59,2.0,1.91,4
MAF,OO,3147,10.25,6.66,1.1,0.35,3
MAF,UA,49,-1.27,-0.13,2.0,-11.17,1
MAF,WN,3671,8.43,3.41,1.0,-1.47,2
MBS,9E,96,-1.47,-4.93,0.0,-15.92,1
MBS,OO,2072,15.2,11.71,1.5,0.75,2
MCI,9E,1183,13.63,8.68,4.4,3.84,9
MCI,AA,5714,16.3,14.92,1.4,6.51,11
MCI,AS,759,0.11,-1.05,1.1,-9.68,1
MCI,B6,160,30.05,30.22,0.6,20.26,14
MCI,DL,6805,5.38,-0.46,0.8,-4.41,3
MCI,F9,375,12.61,13.26,1.1,2.82,8
MCI,G4,211,16.11,14.39,2.4,6.32,10
MCI,MQ,1205,7.02,3.13,1.3,-2.77,5
MCI,NK,1720,16.39,9.1,2.4,6.6,12
MCI,OH,471,26.21,23.24,2.8,16.42,13
MCI,OO,1065,11.84,10.46,1.9,2.05,7
MCI,UA,3664,4.95,2.21,1.4,-4.84,2
MCI,WN,23926,9.7,3.75,0.9,-0.09,6
MCI,YX,1658,5.44,3.37,1.9,-4.35,4
MCO,AA,17768,19.27,15.7,1.9,2.89,7
MCO,AS,2548,17.07,15.25,4.0,0.69,6
MCO,B6,16906,21.26,15.82,1.7,4.88,8
MCO,DL,21162,16.41,11.53,1.5,0.03,5
MCO,F9,17357,14.5,10.81,2.3,-1.88,2
MCO,G4,223,32.14,31.26,2.7,15.76,9
MCO,NK,22638,15.18,10.3,1.8,-1.2,3
MCO,UA,13336,14.39,9.18,2.9,-1.99,1
MCO,WN,44611,15.18,9.62,1.5,-1.2,3
MCW,OO,604,26.18,23.67,3.8,0.0,1
MDT,9E,259,10.83,1.75,1.2,-3.69,4
MDT,AA,1027,20.36,17.05,1.2,5.84,7
MDT,DL,747,8.12,-1.91,0.8,-6.4,3
MDT,F9,78,27.97,21.68,2.6,13.45,9
MDT,G4,780,23.53,19.75,2.2,9.01,8
MDT,OH,647,12.38,8.44,0.8,-2.14,5
MDT,OO,906,14.23,8.52,1.1,-0.29,6
MDT,UA,396,7.36,4.87,1.0,-7.16,2
MDT,YX,244,-0.81,-8.58,1.2,-15.33,1
MDW,DL,1500,9.97,2.22,0.8,-3.23,1
MDW,F9,3504,23.51,19.59,2.7,10.31,5
MDW,G4,416,23.41,21.63,1.9,10.21,4
MDW,OO,1937,14.62,11.01,0.7,1.42,3
MDW,WN,71029,12.67,6.2,1.1,-0.53,2
MEI,OO,580,15.1,15.36,3.3,0.0,1
MEM,9E,1043,7.18,0.98,2.7,-3.64,3
MEM,AA,4230,16.71,13.65,1.7,5.89,11
MEM,DL,4346,5.91,-1.19,1.2,-4.91,1
MEM,F9,170,15.5,14.3,0.6,4.68,9
MEM,G4,478,23.28,18.43,1.3,12.46,12
MEM,MQ,1560,8.14,3.48,1.0,-2.68,5
MEM,NK,847,15.91,6.9,1.8,5.09,10
MEM,OH,744,13.07,8.41,0.9,2.25,7
MEM,OO,755,14.87,10.62,2.1,4.05,8
MEM,UA,1495,7.55,4.04,1.6,-3.27,4
MEM,WN,3536,12.45,6.18,0.7,1.63,6
MEM,YX,2900,6.58,1.28,1.6,-4.24,2
MFE,AA,1815,20.81,19.09,2.3,5.29,5
MFE,G4,459,15.07,9.58,0.7,-0.45,3
MFE,MQ,777,9.51,8.81,1.7,-6.01,2
MFE,OO,1031,17.4,15.56,0.9,1.88,4
MFE,UA,561,3.53,-1.78,3.6,-11.99,1
MFR,G4,321,29.66,27.14,1.9,18.52,3
MFR,OO,2817,7.81,3.42,1.0,-3.33,1
MFR,UA,1164,14.13,7.56,1.0,2.99,2
MGM,9E,918,10.34,5.06,0.7,-4.87,2
MGM,MQ,544,8.63,4.44,0.6,-6.58,1
MGM,OH,477,24.19,22.96,4.6,8.98,4
MGM,OO,616,21.64,16.45,1.3,6.43,3
MGW,OO,35,77.34,74.94,0.0,0.0,1
MHK,MQ,875,9.16,0.73,1.8,0.01,2
MHK,OO,2,3.0,-13.5,0.0,-6.15,1
MHT,AA,120,24.83,19.03,0.0,13.82,5
MHT,MQ,282,3.14,2.42,0.7,-7.87,2
MHT,NK,111,31.31,22.2,4.5,20.3,6
MHT,OH,2148,14.75,10.93,1.9,3.74,4
MHT,WN,2655,7.61,-0.29,0.5,-3.4,3
MHT,YX,57,1.82,4.48,1.8,-9.19,1
MIA,9E,15,29.53,35.53,0.0,9.37,11
MIA,AA,58406,24.11,18.63,1.7,3.95,9
MIA,AS,490,16.2,16.29,5.9,-3.96,5
MIA,B6,1821,27.75,24.94,2.3,7.59,10
MIA,DL,11038,20.58,15.23,1.2,0.42,8
MIA,F9,3633,20.21,18.24,2.6,0.05,7
MIA,MQ,13860,7.64,5.31,1.5,-12.52,1
MIA,NK,5435,13.36,9.03,1.9,-6.8,3
MIA,UA,6141,18.67,15.05,2.9,-1.49,6
MIA,WN,5694,16.0,12.57,1.4,-4.16,4
MIA,YX,569,12.98,7.88,2.1,-7.18,2
MKE,9E,862,15.38,10.03,2.6,4.14,10
MKE,AA,2651,21.44,17.87,1.7,10.2,13
MKE,AS,444,2.37,-1.38,0.9,-8.87,2
MKE,B6,491,16.26,12.72,1.2,5.02,11
MKE,DL,4179,7.61,1.76,1.0,-3.63,3
MKE,F9,474,17.14,11.89,1.7,5.9,12
MKE,MQ,56,0.75,-2.36,1.8,-10.49,1
MKE,NK,712,9.72,3.58,2.4,-1.52,6
MKE,OH,980,14.51,14.96,1.8,3.27,9
MKE,OO,5018,14.39,10.28,1.7,3.15,8
MKE,UA,639,12.02,6.41,1.3,0.78,7
MKE,WN,9440,8.22,1.84,1.0,-3.02,5
MKE,YX,1704,7.84,3.22,2.9,-3.4,4
MLB,DL,1362,4.03,-1.66,1.0,-1.85,1
MLB,G4,239,9.1,4.13,2.5,3.22,3
MLB,OH,1152,7.43,5.78,2.0,1.55,2
MLI,9E,714,8.73,3.21,2.1,-5.37,1
MLI,G4,423,19.05,14.36,1.2,4.95,5
MLI,MQ,715,13.37,7.31,2.4,-0.73,3
MLI,OH,701,10.38,8.85,2.0,-3.72,2
MLI,OO,1555,17.22,14.59,2.2,3.12,4
MLU,9E,849,11.25,8.11,0.8,-0.83,1
MLU,MQ,935,12.86,9.18,1.8,0.78,3
MLU,OO,211,12.02,12.08,0.9,-0.06,2
MOB,9E,767,4.44,-0.08,0.9,-4.82,2
MOB,DL,564,4.3,-1.64,1.4,-4.96,1
MOB,MQ,1039,9.81,7.48,1.9,0.55,3
MOB,OH,25,135.13,130.09,8.0,125.87,5
MOB,OO,190,24.76,19.71,0.0,15.5,4
MOT,G4,321,18.97,14.92,1.2,2.97,2
MOT,OO,1921,15.5,12.09,1.6,-0.5,1
MQT,9E,88,1.91,-5.39,3.4,-11.13,1
MQT,MQ,462,16.68,13.61,0.4,3.64,3
MQT,OO,228,9.79,6.15,1.8,-3.25,2
MRY,AA,630,21.96,19.36,1.4,11.35,3
MRY,G4,106,50.32,51.11,0.9,39.71,4
MRY,MQ,477,4.87,2.0,0.4,-5.74,1
MRY,OO,3405,8.09,6.42,0.9,-2.52,2
MSN,9E,734,6.79,0.65,2.3,-4.77,3
MSN,AA,1994,23.05,19.96,1.3,11.49,9
MSN,DL,1845,6.14,-1.09,1.1,-5.42,2
MSN,F9,279,18.55,17.05,2.2,6.99,8
MSN,MQ,667,12.17,12.62,1.9,0.61,5
MSN,OH,1072,12.4,11.51,1.0,0.84,6
MSN,OO,2200,13.73,10.87,1.5,2.17,7
MSN,UA,1486,7.02,5.33,1.3,-4.54,4
MSN,YX,1158,2.36,-1.71,1.0,-9.2,1
MSO,AA,228,17.49,12.12,0.4,4.94,7
MSO,AS,244,15.63,6.49,0.0,3.08,6
MSO,DL,719,8.54,4.5,1.1,-4.01,2
MSO,F9,110,15.15,18.52,2.7,2.6,5
MSO,G4,305,31.95,31.19,2.0,19.4,8
MSO,MQ,339,12.06,10.69,0.9,-0.49,3
MSO,OO,1126,7.36,4.62,0.8,-5.19,1
MSO,UA,1007,13.43,7.01,1.9,0.88,4
MSP,9E,7372,7.23,4.12,0.8,-3.41,1
MSP,AA,4346,16.37,12.76,1.5,5.73,10
MSP,AS,964,8.93,5.46,1.6,-1.71,2
MSP,B6,314,36.61,32.68,1.6,25.97,14
MSP,DL,66684,9.42,3.6,0.9,-1.22,4
MSP,F9,1561,21.45,20.1,2.1,10.81,12
MSP,G4,229,21.39,13.22,0.4,10.75,11
MSP,MQ,881,10.7,9.72,0.8,0.06,7
MSP,NK,1154,14.45,12.05,1.1,3.81,9
MSP,OH,656,21.76,21.52,2.4,11.12,13
MSP,OO,24496,13.09,8.59,0.8,2.45,8
MSP,UA,5147,9.43,5.9,1.4,-1.21,5
MSP,WN,7111,9.55,2.64,0.7,-1.09,6
MSP,YX,1127,8.95,6.53,1.9,-1.69,3
MSY,9E,1,-5.0,-13.0,0.0,-19.39,1
MSY,AA,6730,21.12,18.63,1.6,6.73,11
MSY,AS,663,11.4,8.1,0.8,-2.99,5
MSY,B6,1264,26.3,20.67,1.9,11.91,13
MSY,DL,6973,12.1,5.59,1.0,-2.29,6
MSY,F9,821,22.31,20.02,4.3,7.92,12
MSY,G4,89,32.81,29.35,1.1,18.42,14
MSY,MQ,1065,9.34,6.85,1.7,-5.05,2
MSY,NK,5120,14.28,8.36,2.1,-0.11,9
MSY,OH,622,16.82,10.65,2.4,2.43,10
MSY,OO,317,12.25,7.67,3.5,-2.14,7
MSY,UA,6368,10.52,5.6,2.2,-3.87,3
MSY,WN,18726,13.42,8.59,1.0,-0.97,8
MSY,YX,572,10.61,6.82,0.7,-3.78,4
MTJ,AA,503,22.93,20.95,0.2,9.25,6
MTJ,DL,103,5.43,-0.68,0.0,-8.25,1
MTJ,MQ,62,16.08,16.73,3.2,2.4,5
MTJ,OO,673,13.33,8.75,1.8,-0.35,4
MTJ,UA,753,10.96,3.75,1.5,-2.72,3
MTJ,WN,618,10.93,4.47,0.2,-2.75,2
MVY,B6,501,23.15,22.61,5.8,3.86,3
MVY,MQ,21,23.1,28.67,0.0,3.81,2
MVY,YX,535,15.58,15.24,4.3,-3.71,1
MYR,9E,514,8.06,0.36,2.5,-2.57,3
MYR,AA,1142,14.81,12.17,2.0,4.18,10
MYR,DL,1987,2.95,-3.15,1.1,-7.68,2
MYR,F9,403,23.55,21.9,6.5,12.92,12
MYR,G4,1099,20.17,19.1,3.1,9.54,11
MYR,MQ,366,10.31,7.89,1.1,-0.32,6
MYR,NK,4648,10.69,6.07,2.6,0.06,7
MYR,OH,2146,12.11,9.2,1.9,1.48,9
MYR,OO,32,-0.91,-7.75,0.0,-11.54,1
MYR,UA,263,11.46,3.01,1.5,0.83,8
MYR,WN,2353,8.07,1.75,0.6,-2.56,4
MYR,YX,568,9.91,3.95,4.0,-0.72,5
OAJ,9E,536,8.33,1.32,0.0,-2.53,2
OAJ,DL,301,3.52,-1.89,1.3,-7.34,1
OAJ,OH,938,14.7,12.09,1.8,3.84,3
OAK,AS,704,4.83,-1.55,2.4,-3.84,4
OAK,DL,541,6.12,-2.42,1.5,-2.55,5
OAK,G4,156,2.67,2.9,1.3,-6.0,3
OAK,HA,971,-0.89,-1.56,2.1,-9.56,1
OAK,NK,2852,9.17,5.1,1.9,0.5,6
OAK,OO,1342,2.17,-1.52,0.3,-6.5,2
OAK,WN,34447,9.29,2.41,0.5,0.62,7
OGG,AA,1090,7.73,1.66,0.5,3.53,4
OGG,AS,1983,10.53,5.42,3.8,6.33,5
OGG,DL,864,11.24,3.2,1.4,7.04,6
OGG,HA,13451,4.24,3.02,0.9,0.04,2
OGG,UA,1575,6.32,-2.53,1.2,2.12,3
OGG,WN,6486,0.22,-4.99,0.5,-3.98,1
OKC,9E,4,36.75,39.0,0.0,27.64,12
OKC,AA,2689,16.9,15.31,1.9,7.79,10
OKC,AS,341,4.97,6.04,2.3,-4.14,2
OKC,DL,1678,2.91,-4.86,0.9,-6.2,1
OKC,F9,421,8.75,4.41,1.7,-0.36,6
OKC,G4,144,16.25,15.13,0.7,7.14,9
OKC,MQ,2119,7.8,4.39,1.9,-1.31,4
OKC,OH,296,26.72,24.59,2.0,17.61,11
OKC,OO,6568,8.84,5.63,0.7,-0.27,7
OKC,UA,30,16.13,17.83,0.0,7.02,8
OKC,WN,7261,7.9,2.53,0.6,-1.21,5
OKC,YX,920,6.78,3.22,1.6,-2.33,3
OMA,9E,485,10.19,6.04,3.1,-1.39,5
OMA,AA,3018,17.99,14.83,1.4,6.41,10
OMA,AS,453,6.08,4.22,1.5,-5.5,2
OMA,DL,1847,8.1,-0.26,1.0,-3.48,4
OMA,F9,413,25.49,26.53,1.9,13.91,12
OMA,G4,528,15.74,12.33,2.3,4.16,9
OMA,MQ,529,6.75,4.5,1.3,-4.83,3
OMA,OH,90,21.26,20.62,1.1,9.68,11
OMA,OO,4192,11.23,8.02,0.9,-0.35,8
OMA,UA,2843,10.53,8.71,1.6,-1.05,6
OMA,WN,7777,11.02,4.37,1.0,-0.56,7
OMA,YX,1002,4.44,2.05,1.5,-7.14,1
OME,AS,365,-0.93,3.37,3.6,0.0,1
ONT,AA,3337,15.14,9.77,1.2,6.06,8
ONT,AS,1377,4.14,1.34,2.5,-4.94,2
ONT,B6,274,17.34,9.22,2.2,8.26,10
ONT,DL,1755,5.05,-4.46,1.0,-4.03,3
ONT,F9,3428,15.27,13.41,2.1,6.19,9
ONT,HA,354,8.45,8.22,0.6,-0.63,7
ONT,MQ,66,-4.27,-8.71,0.0,-13.35,1
ONT,OO,2651,5.7,3.51,0.4,-3.38,4
ONT,UA,1417,6.74,-1.04,0.8,-2.34,5
ONT,WN,11076,7.63,0.21,0.4,-1.45,6
ORD,9E,79,11.64,10.86,1.3,-4.06,4
ORD,AA,50542,21.65,17.9,1.1,5.95,9
ORD,AS,2969,14.58,11.26,1.5,-1.12,6
ORD,B6,1161,25.36,21.69,1.9,9.66,11
ORD,DL,10416,16.52,10.49,1.2,0.82,7
ORD,F9,2567,29.5,31.44,3.1,13.8,12
ORD,MQ,33422,11.14,8.05,1.2,-4.56,3
