aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
TLH,YX,42,18.50,19.57,4.8,9.16,6
TLH,OO,1,36.00,47.00,0.0,26.66,7
TOL,G4,350,19.35,14.97,1.1,0.00,1
TPA,YX,23,5.57,5.83,0.0,-9.02,1
TPA,NK,5773,8.77,5.74,3.0,-5.82,2
TPA,WN,23991,12.68,7.90,2.2,-1.91,3
TPA,UA,8350,12.92,8.85,3.1,-1.66,4
TPA,DL,12660,14.16,9.11,2.1,-0.42,5
TPA,MQ,1245,15.53,13.61,2.9,0.94,6
TPA,F9,6451,16.13,12.75,2.9,1.54,7
TPA,AA,12636,18.70,15.73,2.8,4.12,8
TPA,B6,5081,20.18,15.23,2.8,5.60,9
TPA,AS,1043,21.31,19.56,4.7,6.73,10
TPA,9E,8,77.62,87.62,0.0,63.04,11
TRI,9E,1100,4.04,-3.47,0.7,-4.97,1
TRI,MQ,416,5.17,-2.09,0.7,-3.84,2
TRI,DL,150,14.99,4.49,0.0,5.98,3
TRI,OH,167,15.89,11.97,2.4,6.88,4
TRI,OO,144,17.37,9.90,0.7,8.36,5
TRI,G4,164,33.02,32.38,3.7,24.01,6
TTN,F9,1573,19.34,13.73,3.8,0.00,1
TUL,UA,493,1.98,5.06,1.0,-6.39,1
TUL,YX,682,4.13,1.84,1.9,-4.24,2
TUL,DL,1368,5.77,-2.16,0.9,-2.61,3
TUL,OO,3412,5.88,2.03,0.7,-2.50,4
TUL,9E,251,5.91,-0.02,0.0,-2.47,5
TUL,MQ,1667,6.00,2.93,1.3,-2.37,6
TUL,WN,5468,6.39,0.36,0.5,-1.99,7
TUL,OH,743,16.60,14.58,1.3,8.22,8
TUL,AA,2406,18.23,15.60,2.3,9.85,9
TUL,G4,380,19.21,13.95,0.5,10.83,10
TUS,MQ,774,1.85,-0.58,0.8,-6.94,1
TUS,OO,7888,7.23,5.35,0.4,-1.55,2
TUS,DL,1078,7.39,-0.48,0.7,-1.40,3
TUS,AS,520,7.70,8.66,0.4,-1.08,4
TUS,WN,4347,8.94,2.85,0.5,0.16,5
TUS,UA,1067,11.87,4.81,0.9,3.09,6
TUS,AA,3261,13.65,10.87,1.7,4.87,7
TVC,YX,388,7.79,9.17,1.0,-8.86,1
TVC,9E,239,9.45,6.37,0.8,-7.21,2
TVC,DL,415,10.24,3.68,1.9,-6.42,3
TVC,OH,151,11.28,7.25,0.0,-5.38,4
TVC,MQ,631,11.62,7.78,0.3,-5.03,5
TVC,UA,574,12.77,11.65,1.4,-3.88,6
TVC,OO,1147,20.94,19.41,1.6,4.28,7
TVC,G4,281,34.20,28.13,2.5,17.55,8
TVC,AA,91,63.40,62.25,0.0,46.74,9
TWF,OO,693,-1.07,-6.08,0.3,0.00,1
TXK,OO,296,15.63,13.77,5.4,-1.78,1
TXK,MQ,436,18.57,17.09,1.1,1.16,2
TYR,MQ,191,14.55,9.84,1.6,-2.40,1
TYR,OO,873,17.49,13.49,3.1,0.53,2
TYS,UA,326,2.70,-2.81,0.9,-7.57,1
TYS,DL,1360,3.30,-5.58,1.0,-6.98,2
TYS,9E,2806,3.65,-3.68,1.8,-6.63,3
TYS,YX,715,6.99,4.89,1.8,-3.29,4
TYS,MQ,1029,9.52,7.64,0.9,-0.75,5
TYS,OO,1435,10.80,7.05,1.6,0.53,6
TYS,OH,3543,11.13,9.47,1.5,0.86,7
TYS,G4,2659,14.34,10.83,2.0,4.07,8
TYS,AA,1401,21.80,15.93,2.5,11.52,9
TYS,F9,259,22.49,21.04,1.5,12.22,10
USA,G4,687,26.55,23.53,2.3,0.00,1
VCT,OO,627,17.53,11.71,2.6,0.00,1
VEL,OO,50,22.64,18.72,0.0,0.00,1
VLD,OO,60,6.38,4.95,0.0,-2.24,1
VLD,9E,717,8.81,4.10,2.4,0.19,2
VPS,YX,75,-5.13,-9.00,0.0,-18.41,1
VPS,WN,1925,8.13,2.29,0.4,-5.15,2
VPS,DL,2502,9.72,2.95,0.8,-3.55,3
VPS,OH,707,11.61,12.29,2.0,-1.66,4
VPS,G4,2216,12.42,8.30,1.6,-0.86,5
VPS,MQ,375,16.81,13.72,2.9,3.54,6
VPS,9E,21,20.30,23.50,4.8,7.03,7
VPS,AA,1864,25.06,23.43,1.4,11.78,8
WRG,AS,711,-0.71,-2.96,1.5,0.00,1
WYS,OO,308,12.65,8.88,1.3,0.00,1
XNA,DL,560,4.80,-3.85,0.5,-6.29,1
XNA,YX,784,5.28,1.09,1.8,-5.81,2
XNA,9E,1900,6.57,1.33,0.6,-4.51,3
XNA,F9,197,7.73,7.54,0.5,-3.35,4
XNA,OO,2298,8.29,4.93,0.8,-2.80,5
XNA,MQ,5295,10.90,8.38,0.8,-0.19,6
XNA,UA,215,11.70,9.65,0.5,0.61,7
XNA,AA,1282,21.34,20.86,1.1,10.25,8
XNA,G4,830,22.22,17.91,1.1,11.13,9
XNA,OH,203,22.56,20.37,3.0,11.47,10
XWA,OO,1810,20.80,16.77,1.7,0.00,1
YAK,AS,669,-0.61,-2.15,2.4,0.00,1
YUM,MQ,583,4.22,1.12,0.5,-4.79,1
YUM,OO,1124,11.49,9.06,0.3,2.48,2
