aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
RSW,WN,7390,11.72,7.74,1.9,-2.17,5
RSW,NK,2354,13.58,10.66,2.4,-0.31,6
RSW,YX,90,16.47,12.06,0.0,2.58,7
RSW,AA,5370,17.96,15.03,2.3,4.07,8
RSW,F9,2339,20.07,16.00,3.5,6.18,9
RSW,B6,3703,21.61,18.37,2.7,7.72,10
RSW,MQ,84,21.87,25.59,1.2,7.98,11
RSW,OH,31,23.00,19.21,6.5,9.11,12
ATW,9E,173,11.07,10.08,0.0,-6.31,1
ATW,G4,1114,11.53,7.34,2.3,-5.85,2
ATW,DL,308,11.92,4.81,1.0,-5.46,3
ATW,MQ,717,14.72,8.91,1.4,-2.66,4
ATW,OO,3581,20.52,17.56,2.1,3.14,5
YUM,MQ,583,4.22,1.12,0.5,-4.79,1
YUM,OO,1124,11.49,9.02,0.3,2.48,2
MAF,UA,49,-1.27,-0.12,2.0,-11.17,1
MAF,WN,3671,8.43,3.40,1.0,-1.47,2
MAF,OO,3147,10.25,6.63,1.1,0.35,3
MAF,MQ,2558,11.81,9.58,2.0,1.91,4
PBI,YX,16,-4.81,-6.88,0.0,-22.31,1
PBI,NK,453,7.99,2.13,1.8,-9.51,2
PBI,WN,2566,10.62,5.59,0.8,-6.88,3
PBI,DL,6952,14.49,9.04,1.4,-3.01,4
PBI,G4,364,17.22,15.97,1.6,-0.28,5
PBI,B6,8227,17.69,12.93,1.6,0.19,6
PBI,UA,3291,19.20,13.65,3.5,1.70,7
PBI,AA,5970,22.06,19.43,1.8,4.56,8
PBI,F9,820,29.13,25.07,3.3,11.63,9
EVV,9E,676,3.61,-3.00,1.0,-8.84,1
EVV,MQ,693,7.19,4.74,0.9,-5.26,2
EVV,OH,20,11.45,7.70,0.0,-1.00,3
EVV,OO,412,19.41,17.16,0.7,6.96,4
EVV,DL,22,43.76,34.90,4.5,31.31,5
EVV,G4,191,45.49,38.51,4.2,33.04,6
LBE,NK,519,6.77,-0.68,2.7,-0.00,1
OAJ,DL,301,3.52,-1.88,1.3,-7.34,1
OAJ,9E,536,8.33,1.32,0.0,-2.53,2
OAJ,OH,938,14.70,12.09,1.8,3.84,3
FOD,OO,597,22.37,20.00,2.3,0.00,1
PAE,AS,1023,2.87,0.45,3.1,0.00,1
EWN,OH,50,70.02,60.43,8.0,-0.00,1
TXK,OO,296,15.63,13.77,5.4,-1.78,1
TXK,MQ,436,18.57,17.01,1.1,1.16,2
HGR,G4,286,36.94,34.91,3.1,-0.00,1
BGM,9E,341,14.00,10.71,3.5,0.00,1
PBG,G4,429,35.69,32.71,4.7,0.00,1
HPN,YX,57,8.07,2.18,0.0,-7.11,1
HPN,MQ,1128,10.42,5.97,2.0,-4.76,2
HPN,9E,899,11.94,3.48,1.6,-3.24,3
HPN,B6,4732,12.01,8.37,1.6,-3.17,4
HPN,DL,898,15.79,5.72,1.0,0.61,5
HPN,OH,2704,17.59,15.32,2.5,2.41,6
HPN,OO,1013,31.75,24.95,2.2,16.57,7
TUL,UA,493,1.98,5.06,1.0,-6.40,1
TUL,YX,682,4.13,1.84,1.9,-4.25,2
TUL,DL,1368,5.77,-2.16,0.9,-2.61,3
TUL,OO,3412,5.88,2.03,0.7,-2.50,4
TUL,9E,251,5.91,-0.02,0.0,-2.47,5
TUL,MQ,1667,6.00,2.92,1.3,-2.38,6
TUL,WN,5468,6.39,0.36,0.5,-1.99,7
TUL,OH,743,16.60,14.50,1.3,8.22,8
TUL,AA,2406,18.23,15.58,2.3,9.85,9
TUL,G4,380,19.21,13.95,0.5,10.83,10
RNO,AS,599,4.51,5.41,1.0,-5.91,1
RNO,OO,4233,8.52,6.94,0.7,-1.90,2
RNO,WN,8648,8.53,2.98,0.5,-1.89,3
RNO,NK,1139,8.99,5.57,1.8,-1.43,4
RNO,DL,989,11.95,4.25,1.0,1.53,5
RNO,UA,2163,12.18,7.71,1.2,1.76,6
RNO,MQ,278,13.21,10.74,0.4,2.79,7
RNO,AA,2318,18.97,14.28,1.3,8.55,8
RNO,B6,242,25.78,23.91,2.5,15.36,9
RNO,G4,3,67.33,73.00,0.0,56.91,10
BWI,OO,9,-5.78,-11.11,0.0,-21.48,1
BWI,MQ,504,4.26,-1.39,1.4,-11.44,2
BWI,OH,27,6.63,4.37,0.0,-9.07,3
BWI,UA,3408,7.05,2.32,1.9,-8.65,4
BWI,B6,220,7.40,3.96,2.3,-8.30,5
BWI,YX,890,8.08,3.90,1.6,-7.62,6
BWI,DL,5114,9.76,2.87,0.7,-5.94,7
BWI,WN,72293,16.02,9.01,0.9,0.32,8
BWI,AA,3590,16.56,10.89,1.8,0.86,9
BWI,AS,560,16.88,13.09,2.1,1.18,10
BWI,NK,6424,17.10,10.49,1.9,1.40,11
BWI,9E,467,20.28,13.80,6.0,4.58,12
BWI,F9,2772,28.19,26.29,3.8,12.49,13
BWI,G4,142,33.69,28.78,1.4,17.99,14
MSN,YX,1158,2.36,-1.71,1.0,-9.20,1
MSN,DL,1845,6.14,-1.09,1.1,-5.42,2
MSN,9E,734,6.79,0.65,2.3,-4.77,3
MSN,UA,1486,7.02,5.32,1.3,-4.54,4
MSN,MQ,667,12.17,12.58,1.9,0.61,5
MSN,OH,1072,12.40,11.48,1.0,0.84,6
MSN,OO,2200,13.73,10.84,1.5,2.17,7
MSN,F9,279,18.55,17.05,2.2,6.99,8
MSN,AA,1994,23.05,19.90,1.3,11.49,9
BUR,AS,2221,4.13,3.10,2.2,-5.28,1
BUR,MQ,46,5.04,-3.87,0.0,-4.37,2
BUR,WN,18582,7.52,0.42,1.0,-1.89,3
BUR,F9,72,9.56,14.54,0.0,0.15,4
BUR,OO,4064,11.72,9.91,1.0,2.31,5
BUR,UA,1572,12.89,10.07,1.6,3.48,6
BUR,AA,1196,14.33,10.00,1.0,4.92,7
BUR,NK,1911,14.33,11.55,1.8,4.92,8
BUR,DL,432,22.43,16.34,0.7,13.02,9
BUR,B6,291,48.00,42.12,2.1,38.59,10
CRW,9E,169,2.56,-4.79,0.0,-18.15,1
CRW,OH,1316,16.80,15.43,1.3,-3.91,2
CRW,OO,1778,25.36,19.68,1.3,4.65,3
SAF,OO,2672,13.97,10.07,1.6,-0.33,1
SAF,MQ,102,23.13,21.83,2.0,8.83,2
PSG,AS,714,-0.17,-1.68,1.5,-0.00,1
FNT,G4,1238,10.09,6.10,1.2,-5.87,1
FNT,OO,796,25.14,24.53,1.6,9.18,2
BRD,OO,595,9.15,5.74,0.7,-0.00,1
PQI,B6,111,7.45,3.66,0.9,-0.00,1
RDD,OO,1455,9.18,5.39,0.5,-0.00,1
BRW,AS,364,9.59,11.36,5.2,-0.00,1
HTS,G4,425,42.96,42.05,3.3,-0.00,1
LNK,YX,37,9.75,4.39,2.7,-5.03,1
LNK,OO,1713,14.88,10.29,0.7,0.10,2
WRG,AS,711,-0.71,-2.94,1.5,-0.00,1
BTM,OO,523,-0.50,-6.61,0.0,0.00,1
CLL,MQ,823,10.92,6.47,2.2,-2.85,1
CLL,OO,290,21.96,20.59,3.4,8.19,2
LCH,OO,1001,20.14,16.97,2.3,-1.22,1
LCH,MQ,76,37.92,38.33,5.3,16.56,2
ONT,MQ,66,-4.27,-8.71,0.0,-13.35,1
ONT,AS,1377,4.14,1.34,2.5,-4.94,2
ONT,DL,1755,5.05,-4.45,1.0,-4.03,3
ONT,OO,2651,5.70,3.51,0.4,-3.38,4
ONT,UA,1417,6.74,-1.04,0.8,-2.34,5
ONT,WN,11076,7.63,0.21,0.4,-1.45,6
ONT,HA,354,8.45,8.17,0.6,-0.63,7
ONT,AA,3337,15.14,9.72,1.2,6.06,8
ONT,F9,3428,15.27,13.41,2.1,6.19,9
ONT,B6,274,17.34,9.22,2.2,8.26,10
DCA,YX,25846,4.68,0.04,1.5,-8.36,1
DCA,AS,1615,7.12,1.88,0.9,-5.92,2
DCA,DL,8654,12.19,4.35,1.2,-0.85,3
DCA,UA,5730,12.56,8.45,1.7,-0.48,4
DCA,WN,15383,13.29,4.79,1.1,0.25,5
DCA,MQ,4086,13.49,8.94,1.3,0.45,6
DCA,OH,35249,15.01,11.08,2.2,1.97,7
DCA,9E,1953,15.36,9.93,2.0,2.32,8
DCA,F9,908,15.39,10.68,1.8,2.35,9
DCA,B6,7900,15.98,9.34,1.6,2.94,10
DCA,AA,25697,18.13,12.66,1.7,5.09,11
DCA,OO,153,19.54,11.60,0.7,6.50,12
FWA,MQ,833,10.68,5.95,0.5,-8.17,1
FWA,OH,155,11.35,5.72,0.0,-7.50,2
FWA,9E,190,15.31,5.43,4.2,-3.54,3
FWA,OO,2533,20.52,16.06,1.1,1.67,4
FWA,G4,779,24.64,21.03,2.8,5.79,5
HLN,OO,1486,12.45,9.38,0.6,-0.00,1
RAP,UA,1003,6.51,3.58,1.8,-5.83,1
RAP,MQ,1153,10.14,6.70,0.8,-2.20,2
RAP,G4,403,12.82,10.50,1.2,0.48,3
RAP,DL,95,13.70,14.20,3.2,1.36,4
RAP,OO,2035,14.43,8.08,1.2,2.09,5
RAP,9E,192,16.66,11.52,0.0,4.32,6
RAP,AA,129,35.38,38.05,1.6,23.04,7
DTW,YX,4635,3.52,-0.09,1.7,-8.07,1
DTW,9E,12586,4.91,0.60,0.9,-6.68,2
DTW,MQ,845,7.36,5.15,2.8,-4.23,3
DTW,UA,2147,8.21,4.50,1.2,-3.38,4
DTW,WN,4003,9.36,2.64,0.7,-2.23,5
DTW,OH,1088,10.16,8.30,2.1,-1.43,6
DTW,NK,9959,10.76,3.16,1.5,-0.83,7
DTW,AS,483,10.84,7.07,2.1,-0.75,8
DTW,DL,57234,11.68,6.30,0.9,0.09,9
DTW,B6,1009,12.93,10.41,0.9,1.34,10
DTW,OO,25962,15.31,11.54,0.7,3.72,11
DTW,AA,5491,15.45,11.60,1.9,3.86,12
DTW,F9,2191,24.04,20.32,3.7,12.45,13
CSG,9E,588,9.56,4.14,3.1,-3.62,1
CSG,OO,404,18.35,13.46,1.0,5.17,2
BQN,B6,1513,16.80,13.63,1.3,-2.44,1
BQN,F9,432,22.58,12.80,1.4,3.34,2
BQN,UA,334,26.11,17.63,3.3,6.87,3
MOB,DL,564,4.30,-1.63,1.4,-4.96,1
MOB,9E,767,4.44,-0.08,0.9,-4.82,2
MOB,MQ,1039,9.81,7.45,1.9,0.55,3
MOB,OO,190,24.76,19.71,0.0,15.50,4
MOB,OH,25,135.13,130.09,8.0,125.87,5
HOB,OO,432,25.00,18.32,1.4,-0.00,1
AUS,YX,114,2.78,-1.38,0.0,-11.78,1
AUS,OH,23,10.65,2.78,0.0,-3.91,2
AUS,UA,9343,10.75,5.40,1.4,-3.81,3
AUS,AS,2765,11.69,9.45,2.6,-2.87,4
AUS,WN,37389,11.83,5.75,0.6,-2.73,5
AUS,MQ,2272,13.15,11.12,1.5,-1.41,6
AUS,DL,10857,14.86,8.15,0.9,0.30,7
AUS,9E,377,15.44,14.40,0.5,0.88,8
AUS,NK,1058,19.23,12.69,2.6,4.67,9
AUS,AA,13648,20.73,17.65,1.5,6.17,10
AUS,G4,1082,21.01,17.80,1.9,6.45,11
AUS,HA,163,22.07,27.23,0.6,7.51,12
AUS,OO,3609,22.31,18.24,0.3,7.75,13
AUS,F9,685,26.14,22.52,1.8,11.58,14
AUS,B6,760,32.94,24.67,1.1,18.38,15
VPS,YX,75,-5.13,-9.00,0.0,-18.40,1
VPS,WN,1925,8.13,2.29,0.4,-5.14,2
VPS,DL,2502,9.72,2.95,0.8,-3.55,3
VPS,OH,707,11.61,12.23,2.0,-1.66,4
VPS,G4,2216,12.42,8.29,1.6,-0.85,5
VPS,MQ,375,16.81,13.72,2.9,3.54,6
VPS,9E,21,20.30,23.50,4.8,7.03,7
VPS,AA,1864,25.06,23.36,1.4,11.79,8
MRY,MQ,477,4.87,2.00,0.4,-5.74,1
MRY,OO,3405,8.09,6.40,0.9,-2.52,2
MRY,AA,630,21.96,19.26,1.4,11.35,3
MRY,G4,106,50.32,51.11,0.9,39.71,4
PDX,MQ,46,-4.26,-10.26,0.0,-12.47,1
PDX,AS,16762,5.05,4.14,2.1,-3.16,2
PDX,OO,10595,5.15,3.99,0.6,-3.06,3
PDX,DL,6942,6.42,-1.45,0.9,-1.79,4
PDX,WN,9553,9.18,2.97,0.5,0.97,5
PDX,G4,307,9.37,5.49,0.0,1.16,6
PDX,UA,6393,10.59,4.68,1.5,2.38,7
PDX,HA,706,13.85,11.19,0.7,5.64,8
PDX,NK,1684,14.90,8.68,2.1,6.69,9
PDX,F9,1748,17.50,17.07,2.3,9.29,10
PDX,AA,3668,17.57,11.08,1.5,9.36,11
PDX,B6,205,47.03,42.41,1.0,38.82,12
COU,MQ,1653,13.04,10.72,2.1,-1.46,1
COU,OO,96,39.64,33.29,2.1,25.14,2
ADQ,AS,804,3.05,1.86,2.1,0.00,1
FLG,OO,1838,10.86,8.58,0.4,0.00,1
LWS,OO,1077,10.26,6.65,0.6,-0.00,1
BFL,MQ,338,1.46,-4.22,0.3,-5.95,1
BFL,OO,1352,5.58,0.20,0.4,-1.83,2
BFL,AA,915,12.35,7.88,1.1,4.94,3
SWF,G4,356,28.02,22.62,2.0,-0.00,1
RDU,YX,5547,5.28,3.52,1.5,-8.11,1
RDU,MQ,1217,7.33,3.96,1.1,-6.06,2
RDU,WN,8943,10.51,3.60,0.6,-2.88,3
RDU,UA,5338,11.24,6.21,1.4,-2.15,4
RDU,DL,10867,11.53,3.85,0.9,-1.86,5
RDU,9E,6287,13.77,9.11,3.0,0.38,6
RDU,OO,1002,15.44,15.39,0.3,2.05,7
RDU,AS,490,15.56,12.40,1.2,2.17,8
RDU,OH,845,16.10,13.45,1.4,2.71,9
RDU,B6,3115,17.53,12.97,1.6,4.14,10
RDU,F9,4530,18.29,16.75,3.2,4.90,11
RDU,AA,11119,19.01,14.82,1.7,5.62,12
RDU,NK,423,25.18,18.01,1.4,11.79,13
PNS,DL,2522,2.89,-2.52,0.8,-11.23,1
PNS,UA,667,6.91,1.22,1.6,-7.21,2
PNS,WN,2246,7.08,0.67,0.4,-7.04,3
PNS,MQ,1518,9.19,6.75,1.4,-4.93,4
PNS,NK,928,16.36,8.27,2.7,2.24,5
PNS,F9,393,17.06,14.76,2.3,2.94,6
PNS,OH,2596,19.06,17.16,1.0,4.94,7
PNS,9E,255,24.08,18.92,1.2,9.96,8
PNS,YX,84,25.65,22.24,2.4,11.53,9
PNS,OO,174,29.71,27.40,0.0,15.59,10
PNS,AA,1784,33.59,32.61,2.5,19.47,11
GRR,YX,1875,3.34,-0.33,2.2,-8.05,1
GRR,9E,893,5.20,-0.71,4.3,-6.19,2
GRR,DL,2701,6.34,-0.83,1.0,-5.05,3
GRR,UA,1305,7.28,6.12,1.1,-4.11,4
GRR,WN,1946,9.28,5.71,0.5,-2.11,5
GRR,G4,1930,11.31,7.66,1.5,-0.08,6
GRR,MQ,709,14.14,14.07,1.8,2.75,7
GRR,OO,2057,15.53,12.33,1.9,4.14,8
GRR,OH,705,16.07,16.25,2.8,4.68,9
GRR,AA,2439,18.13,14.69,1.3,6.74,10
GRR,F9,636,33.36,30.77,4.1,21.97,11
BTR,DL,890,7.97,1.51,1.2,-4.84,1
BTR,9E,498,9.73,5.83,1.8,-3.08,2
BTR,MQ,974,14.45,12.35,2.2,1.64,3
BTR,OO,576,14.47,10.45,3.0,1.66,4
BTR,OH,1888,14.55,11.46,1.7,1.74,5
BTR,UA,4,24.00,24.00,0.0,11.19,6
SBN,AA,1,-10.00,7.00,0.0,-26.45,1
SBN,9E,9,-2.56,-13.22,0.0,-19.01,2
SBN,UA,24,7.71,1.42,0.0,-8.74,3
SBN,OH,1141,13.30,10.14,0.9,-3.15,4
SBN,G4,705,15.27,11.40,2.0,-1.18,5
SBN,YX,64,16.81,13.56,1.6,0.36,6
SBN,OO,4311,17.57,12.46,1.8,1.12,7
TUS,MQ,774,1.85,-0.58,0.8,-6.93,1
TUS,OO,7888,7.23,5.34,0.4,-1.55,2
TUS,DL,1078,7.39,-0.47,0.7,-1.39,3
TUS,AS,520,7.70,8.64,0.4,-1.08,4
TUS,WN,4347,8.94,2.84,0.5,0.16,5
TUS,UA,1067,11.87,4.80,0.9,3.09,6
TUS,AA,3261,13.65,10.85,1.7,4.87,7
LAN,9E,144,6.99,0.79,2.1,-9.92,1
LAN,OO,845,17.80,14.76,0.7,0.89,2
LAN,OH,283,19.28,19.78,3.2,2.37,3
CAE,DL,1494,4.46,-3.49,0.7,-5.08,1
CAE,OO,714,4.92,3.66,0.7,-4.62,2
CAE,9E,1242,6.72,1.46,1.9,-2.82,3
CAE,MQ,55,6.91,5.42,0.0,-2.63,4
CAE,OH,2151,10.18,10.09,1.3,0.64,5
CAE,YX,340,13.63,10.65,4.7,4.09,6
CAE,AA,689,27.09,23.67,3.0,17.55,7
INL,OO,570,17.69,13.48,1.4,0.00,1
HNL,WN,14179,2.54,-2.76,0.4,-3.59,1
HNL,AA,1899,5.33,-2.62,0.1,-0.80,2
HNL,HA,31352,5.45,4.80,1.1,-0.68,3
HNL,DL,3219,10.92,2.58,0.8,4.79,4
HNL,UA,4488,12.81,3.23,1.3,6.68,5
HNL,AS,4099,13.28,7.23,2.8,7.15,6
SFO,HA,742,5.88,4.80,2.4,-9.14,1
SFO,AS,11079,11.21,8.45,2.7,-3.81,2
SFO,UA,48909,12.61,4.40,1.5,-2.41,3
SFO,OO,31352,13.23,8.67,1.4,-1.79,4
SFO,DL,12236,15.59,6.66,0.7,0.57,5
SFO,B6,3783,17.11,11.42,0.5,2.09,6
SFO,MQ,50,17.54,8.24,0.0,2.52,7
SFO,WN,7429,21.55,15.05,0.5,6.53,8
SFO,AA,10082,22.55,16.44,1.0,7.53,9
SFO,F9,4533,33.14,30.62,2.1,18.12,10
BZN,AS,634,5.59,7.57,1.3,-5.58,1
BZN,MQ,66,6.39,0.94,0.0,-4.78,2
BZN,OO,1906,7.25,4.89,0.6,-3.92,3
BZN,DL,1755,7.49,2.92,0.5,-3.68,4
BZN,WN,1972,8.26,2.55,0.5,-2.91,5
BZN,UA,2135,12.97,8.77,1.4,1.80,6
BZN,G4,347,15.45,11.01,2.6,4.28,7
BZN,AA,892,27.18,24.77,0.3,16.01,8
BZN,B6,139,39.84,36.84,2.2,28.67,9
STT,UA,740,6.53,4.97,0.8,-11.77,1
STT,F9,70,10.01,23.00,2.9,-8.29,2
STT,NK,976,15.18,10.15,1.5,-3.12,3
STT,B6,662,17.10,13.93,2.0,-1.20,4
STT,DL,830,17.10,14.33,0.7,-1.20,5
STT,AA,1889,25.76,24.72,1.0,7.46,6
LAS,G4,7228,8.98,4.91,0.6,-4.31,1
LAS,DL,15456,9.28,2.49,0.8,-4.01,2
LAS,UA,13649,10.20,5.03,1.8,-3.09,3
LAS,NK,25761,10.73,5.37,1.2,-2.56,4
LAS,AS,5358,10.91,9.59,2.2,-2.38,5
LAS,WN,84925,13.95,6.17,0.5,0.66,6
LAS,OO,2230,15.12,17.51,1.5,1.83,7
LAS,F9,12791,15.34,12.29,1.4,2.05,8
LAS,AA,13377,19.94,13.68,1.1,6.65,9
LAS,HA,1377,20.41,19.13,0.3,7.12,10
LAS,B6,2588,24.11,17.41,0.9,10.82,11
LAS,MQ,26,66.96,60.15,0.0,53.67,12
FAR,DL,686,4.16,-2.63,0.6,-10.00,1
FAR,9E,217,5.76,-1.28,0.5,-8.40,2
FAR,F9,300,10.16,9.68,1.3,-4.00,3
FAR,MQ,1609,12.75,7.73,1.0,-1.41,4
FAR,G4,592,13.93,8.09,0.5,-0.23,5
FAR,OO,2722,18.49,15.76,1.3,4.33,6
FAR,UA,132,18.77,15.63,1.5,4.61,7
MSP,9E,7372,7.23,4.11,0.8,-3.41,1
MSP,AS,964,8.93,5.46,1.6,-1.71,2
